DATE,PRICE,SPACE,CATEGORIES
2018-04-07,2650.00,190,DUPLEX
2018-03-15,2850.00,190,DUPLEX
2020-06-05,4600.00,170,"APARTMENT, FURNISHED_FLAT"
2020-07-22,,,OFFICE
2020-07-22,,,"RETAIL, COMMERCIAL"
2019-04-04,725.00,,OFFICE
2018-03-13,1370.00,,APARTMENT
2019-05-08,140.00,,UNDERGROUND_SLOT
2018-11-06,1110.00,,APARTMENT
2018-06-28,1270.00,,APARTMENT
2019-12-19,1270.00,65,APARTMENT
2018-06-15,1060.00,,APARTMENT
2019-11-04,1850.00,,OFFICE
2018-06-25,1200.00,62,APARTMENT
2019-04-04,2000.00,,OFFICE
2019-12-19,1070.00,67,APARTMENT
2018-05-25,1300.00,,APARTMENT
2018-04-11,1050.00,,APARTMENT
2019-12-19,,,UNDERGROUND_SLOT
2018-03-13,1320.00,,APARTMENT
2020-03-24,1750.00,115,"APARTMENT, DUPLEX"
2018-02-07,,,OFFICE
2018-02-23,2350.00,112,APARTMENT
2018-02-23,1335.00,67,APARTMENT
2020-06-23,1320.00,75,"APARTMENT, FLAT"
2021-07-13,2680.00,110,"APARTMENT, FLAT"
2021-11-26,1230.00,68,"APARTMENT, FLAT"
2020-03-09,1175.00,62,"APARTMENT, FLAT"
2020-12-10,,,OFFICE
2020-04-03,,,"RETAIL, STORAGE_ROOM"
2020-05-13,1240.00,51,"APARTMENT, FLAT"
2020-08-31,2900.00,136,"APARTMENT, FLAT"
2021-02-02,,,OFFICE
2021-10-19,1755.00,105,"APARTMENT, FLAT"
2018-05-11,790.00,27,APARTMENT
2020-03-26,1530.00,76,"APARTMENT, FLAT"
2018-08-21,2130.00,98,APARTMENT
2019-08-28,160.00,,UNDERGROUND_SLOT
2021-10-29,1340.00,75,"APARTMENT, FLAT"
2018-04-19,,39,APARTMENT
2020-09-29,200.00,,UNDERGROUND_SLOT
2021-03-23,1470.00,57,"APARTMENT, FLAT"
2020-08-22,150.00,,UNDERGROUND_SLOT
2020-02-04,80.00,,HOBBY_ROOM
2019-11-13,,,OFFICE
2021-10-04,2750.00,136,"APARTMENT, FLAT"
2019-04-15,1400.00,59,APARTMENT
2021-03-08,1280.00,70,"APARTMENT, FLAT"
2018-02-23,1615.00,83,ROOF_FLAT
2020-02-04,1410.00,78,"APARTMENT, FLAT"
2018-12-12,,,"RETAIL, STORAGE_ROOM"
2018-05-08,1490.00,74,APARTMENT
2021-03-10,1000.00,51,"APARTMENT, FLAT"
2021-10-27,200.00,,SINGLE_GARAGE
2021-03-08,950.00,55,"APARTMENT, FLAT"
2020-09-03,1360.00,60,"APARTMENT, FLAT"
2019-04-05,125.00,,UNDERGROUND_SLOT
2021-05-06,,,OFFICE
2020-06-05,1020.00,59,"APARTMENT, FLAT"
2020-02-27,1650.00,113,"APARTMENT, DUPLEX"
2018-09-26,1230.00,73,APARTMENT
2019-04-10,980.00,47,APARTMENT
2018-06-12,150.00,,UNDERGROUND_SLOT
2019-07-10,980.00,61,APARTMENT
2018-11-19,1667.00,69,APARTMENT
2021-07-29,165.00,,UNDERGROUND_SLOT
2021-05-28,230.00,,UNDERGROUND_SLOT
2020-01-15,1260.00,54,"APARTMENT, FLAT"
2020-09-19,2050.00,85,"APARTMENT, FLAT"
2018-09-21,275.00,,HOBBY_ROOM
2018-08-21,1050.00,47,APARTMENT
2019-03-08,1820.00,97,APARTMENT
2018-10-30,165.00,,UNDERGROUND_SLOT
2021-09-21,1390.00,76,"APARTMENT, FLAT"
2018-07-02,890.00,50,APARTMENT
2021-12-02,610.00,23,"APARTMENT, FLAT"
2018-03-23,,,STORAGE_ROOM
