DATE,PRICE,SPACE,SPACE_binned,CATEGORIES,median_PRICE_CATEGORY_SPACE_binned_DATE,CATEGORY_N_DATES
2018-01-01,3000.0,70.0,"(50, 100]","APARTMENT, FURNISHED_FLAT",3000.0,996
2018-01-02,1510.0,61.0,"(50, 100]","APARTMENT, FLAT",1430.0,1370
2018-01-02,980.0,54.0,"(50, 100]","APARTMENT, FLAT",1430.0,1370
2018-01-02,650.0,29.0,"(0, 50]","APARTMENT, FLAT",700.0,1370
2018-01-02,2350.0,70.0,"(50, 100]","APARTMENT, FURNISHED_FLAT",2350.0,996
2018-01-02,2050.0,102.0,"(100, 150]","APARTMENT, FLAT",2340.0,1370
2018-01-02,620.0,28.0,"(0, 50]","APARTMENT, FLAT",700.0,1370
2018-01-02,1875.0,50.0,"(0, 50]","APARTMENT, FURNISHED_FLAT",1875.0,996
2018-01-02,8669.0,135.0,"(100, 150]","APARTMENT, FURNISHED_FLAT",5489.5,996
2018-01-02,10000.0,278.0,"(200, 300]","HOUSE, SINGLE_HOUSE",10000.0,166
2018-01-02,1040.0,44.0,"(0, 50]","APARTMENT, FLAT",700.0,1370
2018-01-02,2320.0,113.0,"(100, 150]","APARTMENT, FLAT",2340.0,1370
2018-01-02,2360.0,145.0,"(100, 150]","APARTMENT, FLAT",2340.0,1370
2018-01-02,1285.0,58.0,"(50, 100]","APARTMENT, STUDIO",1285.0,224
2018-01-02,2700.0,120.0,"(100, 150]","APARTMENT, DUPLEX, MAISONETTE",2700.0,451
2018-01-02,1640.0,93.0,"(50, 100]","APARTMENT, FLAT",1430.0,1370
2018-01-02,700.0,28.0,"(0, 50]","APARTMENT, FLAT",700.0,1370
2018-01-02,800.0,30.0,"(0, 50]","APARTMENT, FLAT",700.0,1370
2018-01-02,1300.0,70.0,"(50, 100]","APARTMENT, FLAT",1430.0,1370
2018-01-02,1780.0,119.0,"(100, 150]","APARTMENT, ROOF_FLAT",1780.0,650
2018-01-02,1169.0,59.0,"(50, 100]","APARTMENT, FLAT",1430.0,1370
2018-01-02,1090.0,62.0,"(50, 100]","APARTMENT, FLAT",1430.0,1370
2018-01-02,2900.0,120.0,"(100, 150]","APARTMENT, FLAT",2340.0,1370
2018-01-02,2310.0,110.0,"(100, 150]","APARTMENT, FURNISHED_FLAT",5489.5,996
2018-01-02,1640.0,80.0,"(50, 100]","APARTMENT, FLAT",1430.0,1370
2018-01-02,1350.0,72.0,"(50, 100]","APARTMENT, FLAT",1430.0,1370
2018-01-02,1600.0,79.0,"(50, 100]","APARTMENT, FLAT",1430.0,1370
2018-01-02,1600.0,77.0,"(50, 100]","APARTMENT, FLAT",1430.0,1370
2018-01-03,960.0,35.0,"(0, 50]","APARTMENT, FLAT",990.0,1370
2018-01-03,1150.0,57.0,"(50, 100]","APARTMENT, FLAT",1572.5,1370
2018-01-03,650.0,65.0,"(50, 100]","APARTMENT, FLAT",1572.5,1370
2018-01-03,1050.0,46.0,"(0, 50]","APARTMENT, FLAT",990.0,1370
2018-01-03,2400.0,94.0,"(50, 100]","APARTMENT, ROOF_FLAT",2400.0,650
2018-01-03,1150.0,70.0,"(50, 100]","APARTMENT, FLAT",1572.5,1370
2018-01-03,1910.0,94.0,"(50, 100]","APARTMENT, FLAT",1572.5,1370
2018-01-03,584.0,32.0,"(0, 50]","APARTMENT, FLAT",990.0,1370
2018-01-03,2200.0,100.0,"(50, 100]","APARTMENT, FLAT",1572.5,1370
